# Node-ID	solution type	event type	new arrangement at node	arrangement at parental node
2	non-ambiguous solution	fusion	PF00096 PF13912 PF00096 PF12874 PF00096	PF00096 PF13912 PF00096 + PF12874 PF00096
2	non-ambiguous solution	fusion	PF00096 PF13912 PF00096 PF13894 PF00096	PF00096 PF13912 + PF00096 PF13894 PF00096
2	non-ambiguous solution	fusion	PF00096 PF13912 PF00096 PF13894 PF00096	PF00096 PF13912 PF00096 + PF13894 PF00096
2	non-ambiguous solution	fusion	PF00651 PF00096 PF12874 PF00096 PF12874 PF00096	PF00651 + PF00096 PF12874 PF00096 PF12874 PF00096
2	non-ambiguous solution	fusion	PF00651 PF00096 PF12874 PF00096 PF12874 PF00096	PF00651 PF00096 PF12874 + PF00096 PF12874 PF00096
2	non-ambiguous solution	fusion	PF00651 PF00096 PF12874 PF00096 PF12874 PF00096	PF00651 PF00096 PF12874 PF00096 + PF12874 PF00096
2	non-ambiguous solution	fusion	PF00651 PF00096 PF13912 PF00096 PF13912	PF00651 + PF00096 PF13912 PF00096 PF13912
2	non-ambiguous solution	fusion	PF00651 PF00096 PF13912 PF00096 PF13912	PF00651 PF00096 + PF13912 PF00096 PF13912
2	non-ambiguous solution	fusion	PF01352 PF00096 PF13894	PF01352 + PF00096 PF13894
2	non-ambiguous solution	fusion	PF01352 PF00096 PF13894	PF01352 PF00096 + PF13894
2	non-ambiguous solution	fusion	PF01553 PF13833 PF13499	PF01553 + PF13833 PF13499
2	non-ambiguous solution	fusion	PF01553 PF13833 PF13499	PF01553 PF13833 + PF13499
2	non-ambiguous solution	fusion	PF02373 PF02008 PF16866 PF00646	PF02373 + PF02008 PF16866 PF00646
2	non-ambiguous solution	fusion	PF02373 PF02008 PF16866 PF00646	PF02373 PF02008 PF16866 + PF00646
